# Exact path|origin|kind|normalized fingerprint|category|rationale
# Paths use case-aware placeholders for former identities so this policy is not recursive.
# Origins: content, filename, symlink-target. Kinds: product, font, url.
.gitignore|content|product|06bad645d71cb788fa5da2f05743f3b98ef40a94124ed6e5677b90fad7ae9cc4:1|compatibility-ignore|Preserves the former user-state ignore boundary.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|575ec056a589c2b8ca3db7f48b69b92c13c84bbfc06cc98c265a958701ccc5bc:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|5d80b47b362b1d555c8077c9da4be2335b3068718a172e6a7a3187387299b724:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|600b335ddef756fed599c331015e13e13b8de9d5a2b363148aaa8a4b9b7492e8:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|60b6bd07141a59c98e6c772f9e1af03e06d1e7d1ca51e974fee734f766815059:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|6a4e4b14a7e62e18c46839f63141807dcb9656718a5252dca6bc0a4587a8650a:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|76cf5dfbb128f6dc8ad7fcef1df5a7fb8857d9691f16f3380c2e92a3ad90afd9:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|76cf5dfbb128f6dc8ad7fcef1df5a7fb8857d9691f16f3380c2e92a3ad90afd9:2|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|76cf5dfbb128f6dc8ad7fcef1df5a7fb8857d9691f16f3380c2e92a3ad90afd9:3|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|76cf5dfbb128f6dc8ad7fcef1df5a7fb8857d9691f16f3380c2e92a3ad90afd9:4|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|76cf5dfbb128f6dc8ad7fcef1df5a7fb8857d9691f16f3380c2e92a3ad90afd9:5|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|76cf5dfbb128f6dc8ad7fcef1df5a7fb8857d9691f16f3380c2e92a3ad90afd9:6|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|7765de1e494732a7e082b181c040ff0d852a610687623470fc3f6e29304a4969:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|7c7676ea0c98985a67d5e62e6348e4aa25b6cf1011568e4f6e88c6e6c8aa1dd7:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|7f02d57c5a93b0f79d104a5511773164e1f22ca30cc58e4732f518fdb6e41cfc:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|80ec4d7313ea92bba7599d37d5812cb9357388bf52d7a329bdd4cc2b2011b9fa:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|88f08cf6377032a2784c518cde6b3bf36417d334c29a5db32c88859588cb6b33:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|8d9d562977edea394cb2d11bba8d9707d5dd8589c24f7710db000f6c5225776c:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|90fb4a1065a71e26674cf315b45495d869905a0027fbc70c45530086edc1038d:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|930a2c20081a7e06a0d434974dd02d911805befcda5f3b2e7d51333293216e7f:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|935129ed5b3327e105545584729ae4747166c1f9edfb60224059e3a9b6b9558d:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|94c47962039f143ab2e7c64fcff6369e5354e66814099c6e28e2575f3673b68c:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|94c47962039f143ab2e7c64fcff6369e5354e66814099c6e28e2575f3673b68c:2|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|94c47962039f143ab2e7c64fcff6369e5354e66814099c6e28e2575f3673b68c:3|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|94c47962039f143ab2e7c64fcff6369e5354e66814099c6e28e2575f3673b68c:4|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|94c47962039f143ab2e7c64fcff6369e5354e66814099c6e28e2575f3673b68c:5|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|94c47962039f143ab2e7c64fcff6369e5354e66814099c6e28e2575f3673b68c:6|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|94c47962039f143ab2e7c64fcff6369e5354e66814099c6e28e2575f3673b68c:7|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|975491fcfd4ae98c3af4b420b7d22a9d533068ed5fc1907c790b4e9b49576fe0:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|99b2a8d80b267eb57ee091df975ef811d5f39fe28c91919a338d747abb1863f4:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|9b6d060d18631df277a3ccde1877457955158b1f961a64001be0342e0c233236:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|a1fc1c682d6a2823846cb442968c04e03d51a7561ea052afc5fffcda46c52045:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|a1fc1c682d6a2823846cb442968c04e03d51a7561ea052afc5fffcda46c52045:2|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|a1fc1c682d6a2823846cb442968c04e03d51a7561ea052afc5fffcda46c52045:3|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|ae2e6af0ecba17eaf8e571d8497e78c396fb073bab89448dfaaa3a425c7228d4:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|b0ad4825996be6f23a126200c5405e72a75c51a7890dc3bf83314e6d22d6c83b:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|b1cd7195ce628fdc8f44445db9c3b7348996f1278f5131837672ecea9beba59d:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|bcf39c2db59072a9ed36456944fd7f0fc1a140e97389855e7b3d488b63f72417:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|ce0d58188b86af587ee63f28d57e882b6cb2933d188709d5f56041ff46a4612a:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|cea688588459ec45d998d59c406d150ed4900e8b2e795f160b9819e29a212012:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|d56bf85344aefa7f680715235b4e585f1ca8690714d66b905ec3fc5ee81285ac:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|e281ecc9bbbe3654ffcdaea87bf50bb4c7a698e0ca8dd7188bdb7ad68638d272:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|e281ecc9bbbe3654ffcdaea87bf50bb4c7a698e0ca8dd7188bdb7ad68638d272:2|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|e8ad1f4a0668bd3cd066677e5bcc23e0fd671b1f10b27a3809862ee2373a172d:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|fd6b4cc0b3b3b7caa5866efe560326fef63536796b9bcd3b66985cef1a6aa0ae:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|url|e281ecc9bbbe3654ffcdaea87bf50bb4c7a698e0ca8dd7188bdb7ad68638d272:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|filename|product|5cd88e735d707c8a37f7550af243037cb34bd113a6b5c12df1436eac1892f6d2:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-15-next-features.md|content|product|2e5af4c018d8a1269c4f06b3c7c8de2c923f2c07d52a9450e73731e75131458b:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-15-next-features.md|content|product|6874ff5a6be4854a04f64e3d70bb5812a1eb3bf8a1885900f15e7b090750cea8:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-15-next-features.md|content|product|81458e552f671de0b5d1fcbe80645f2b73a3dc180f7355978a90d59f1ef4db37:1|historical|Preserved completed pre-rename design history.
docs/superpowers/specs/2026-03-14-%OLD_PRODUCT%-tui-design.md|content|product|163ed807f8664b11506c53699a17301919a104dc37ed07f0e60a6328afd73187:1|historical|Preserved completed pre-rename design history.
docs/superpowers/specs/2026-03-14-%OLD_PRODUCT%-tui-design.md|content|product|42f4c284c3f2225e059866a25be2a04903406f2377b003bb50b7a070704daf23:1|historical|Preserved completed pre-rename design history.
docs/superpowers/specs/2026-03-14-%OLD_PRODUCT%-tui-design.md|content|product|4b5d4c2059dfd7e47f05ed61f0018d27636c1194210805e49fb4840e191ccbac:1|historical|Preserved completed pre-rename design history.
docs/superpowers/specs/2026-03-14-%OLD_PRODUCT%-tui-design.md|content|product|5502d3a43554175d2d46ba4cee07cee6ad8884608975804d1219364cf453d42b:1|historical|Preserved completed pre-rename design history.
docs/superpowers/specs/2026-03-14-%OLD_PRODUCT%-tui-design.md|content|product|5502d3a43554175d2d46ba4cee07cee6ad8884608975804d1219364cf453d42b:2|historical|Preserved completed pre-rename design history.
docs/superpowers/specs/2026-03-14-%OLD_PRODUCT%-tui-design.md|content|product|6e1f381b81258b071bc033d911863b166d24f0f666d24df90b82d33485df412f:1|historical|Preserved completed pre-rename design history.
docs/superpowers/specs/2026-03-14-%OLD_PRODUCT%-tui-design.md|content|product|833d264b134b52124d069f260eac2325225267ffc603e8cc1e5f60056a6ca7fe:1|historical|Preserved completed pre-rename design history.
docs/superpowers/specs/2026-03-14-%OLD_PRODUCT%-tui-design.md|content|product|e34b8475699c793c0622097a1b6135703eebd44e13da3c16f7f327cc6d93ce51:1|historical|Preserved completed pre-rename design history.
docs/superpowers/specs/2026-03-14-%OLD_PRODUCT%-tui-design.md|filename|product|20a2df2e810cceb87a4a6a2100f51bbd03085e2bfe596d4e412016d1fbc38bc2:1|historical|Preserved completed pre-rename design history.
scripts/check-legacy-name-allowlist.sh|content|font|056d8300003147789e2edd4a49dd68dd820b2b8128426169f06b0ee0f0bb6390:1|policy|Implements or tests exact residual-name enforcement.
scripts/check-legacy-name-allowlist.sh|content|font|17bf6832446d05e19e59c3ad4a09952423b97299a10c006d2e19313431a60de0:1|policy|Implements or tests exact residual-name enforcement.
scripts/check-legacy-name-allowlist.sh|content|font|8d2ed25e163052e123167f53f0f49c787267cf1521d3aaa62ecf5458c26230c7:1|policy|Implements or tests exact residual-name enforcement.
scripts/check-legacy-name-allowlist.sh|content|font|ac4d5a81823eb3b01daa4d9e1228feca4515434aca5c5d75f6c438d925ed7db1:1|policy|Implements or tests exact residual-name enforcement.
scripts/check-legacy-name-allowlist.sh|content|font|bbc3ebbe02eea9290e7ed19a25ed51183ba9db6a2a4bbae42a0e9578cc7e12ac:1|policy|Implements or tests exact residual-name enforcement.
scripts/check-legacy-name-allowlist.sh|content|font|c17f8066d7e3d3b373966131d597647ffadebae810ec2ac4c4fa99296b127399:1|policy|Implements or tests exact residual-name enforcement.
scripts/check-legacy-name-allowlist.sh|content|product|056d8300003147789e2edd4a49dd68dd820b2b8128426169f06b0ee0f0bb6390:1|policy|Implements or tests exact residual-name enforcement.
scripts/check-legacy-name-allowlist.sh|content|product|17bf6832446d05e19e59c3ad4a09952423b97299a10c006d2e19313431a60de0:1|policy|Implements or tests exact residual-name enforcement.
